1603292263.1304278,0.004384166666666666,-2.1666666666666667e-05,29.8762,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292263.4266896,0.004389666666666667,-1.75e-05,30.6806,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292263.7284665,0.0043955,-1.3333333333333333e-05,31.4928,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292264.0309062,0.004401333333333333,-9.333333333333333e-06,32.2904,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292264.3308368,0.0044075,-4.9999999999999996e-06,33.0654,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292264.6308775,0.004413833333333334,-5e-07,33.8312,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292264.9265058,0.004420166666666667,4e-06,34.5675,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292265.2284446,0.004426833333333334,8.666666666666666e-06,35.3078,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292265.5354261,0.004433333333333333,1.3333333333333333e-05,36.0435,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292265.8323827,0.004439833333333334,1.8166666666666667e-05,36.7469,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292266.1296458,0.004446500000000001,2.3166666666666666e-05,37.4422,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292266.431127,0.0044529999999999995,2.816666666666667e-05,38.1332,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292266.7346115,0.0044595,3.3333333333333335e-05,38.8158,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292267.0311933,0.0044659999999999995,3.866666666666667e-05,39.4682,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292267.3266551,0.0044725,4.4e-05,40.1167,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292267.6340353,0.0044789999999999995,4.933333333333333e-05,40.7718,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292267.9296026,0.0044856666666666664,5.5e-05,41.3911,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292268.2278714,0.004492166666666667,6.0666666666666666e-05,42.0068,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292268.5271597,0.004499,6.649999999999999e-05,42.6086,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292268.8271155,0.004505833333333333,7.25e-05,43.2067,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292269.1320028,0.0045126666666666666,7.85e-05,43.8076,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292269.431435,0.004519833333333333,8.466666666666667e-05,44.3852,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292269.728361,0.004527,9.083333333333334e-05,44.9499,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292270.0303564,0.004534166666666667,9.716666666666667e-05,45.5082,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292270.3262422,0.004541333333333333,0.00010350000000000001,46.051,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292270.6294434,0.004548666666666667,0.00011,46.5936,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292270.9341562,0.004555833333333333,0.00011633333333333333,47.1385,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292271.2311664,0.004562833333333334,0.00012266666666666668,47.6535,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292271.5264127,0.00457,0.00012933333333333335,48.1341,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292271.8292472,0.004577166666666666,0.000136,48.6621,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292272.1307642,0.004584,0.0001425,49.1584,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292272.430445,0.004591,0.00014933333333333332,49.6404,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292272.7309182,0.004597833333333333,0.00015633333333333333,50.1165,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292273.0316856,0.004604833333333333,0.0001635,50.5869,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292273.334106,0.004611833333333333,0.00017066666666666668,51.0514,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292273.6327922,0.004618833333333333,0.00017800000000000002,51.5028,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292273.9291046,0.004625833333333333,0.00018549999999999998,51.9366,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292274.2275743,0.004632833333333333,0.00019316666666666665,52.3726,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292274.5294445,0.0046398333333333335,0.00020066666666666667,52.8058,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292274.8322964,0.0046468333333333335,0.0002085,53.2267,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292275.1277049,0.004653833333333333,0.00021633333333333332,53.6359,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292275.431225,0.004660833333333334,0.000224,54.047,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292275.7295778,0.004667833333333333,0.00023183333333333335,54.44,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292276.03797,0.004674833333333334,0.00023966666666666667,54.8306,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292276.3323512,0.0046816666666666664,0.00024766666666666665,55.2228,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292276.6266463,0.0046885,0.0002553333333333333,55.5932,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292276.933355,0.0046953333333333335,0.00026333333333333336,55.9754,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292277.2272935,0.004702166666666666,0.00027166666666666664,56.3303,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292277.5331535,0.0047090000000000005,0.00027966666666666667,56.6966,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292277.8283205,0.0047156666666666675,0.00028783333333333335,57.0367,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292278.1303844,0.004722333333333333,0.0002961666666666667,57.3879,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292278.429358,0.004729333333333334,0.000305,57.7101,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292278.7327547,0.004736000000000001,0.0003136666666666667,58.0654,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292279.0313776,0.004742666666666667,0.0003221666666666667,58.3886,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292279.3329272,0.004749166666666666,0.00033099999999999997,58.7149,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292279.6348739,0.004755833333333333,0.00034,59.0334,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292279.93516,0.0047625,0.000349,59.3427,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292280.2270575,0.004769166666666667,0.0003581666666666666,59.6347,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292280.5327373,0.004775333333333334,0.0003668333333333333,59.9413,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
