time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294182.705781,-0.012655166666666667,0.013284833333333333,54.428,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294183.0062582,-0.0126525,0.013288166666666667,54.4575,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294183.3015394,-0.012649833333333334,0.013291666666666667,54.4859,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294183.6056123,-0.012647166666666666,0.013295166666666667,54.5146,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294183.898106,-0.0126445,0.0132985,54.5425,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294184.199344,-0.012641833333333333,0.013301833333333334,54.5706,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
