time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293373.8123212,-0.010053333333333333,0.014069333333333333,188.978,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293374.110036,-0.0100655,0.014066500000000001,188.56,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293374.411519,-0.0100775,0.014063666666666667,188.133,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293374.713296,-0.010089833333333333,0.014060833333333333,187.682,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293375.0134704,-0.010102166666666666,0.014058166666666667,187.225,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293375.3150024,-0.010114333333333333,0.0140555,186.756,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293375.615872,-0.010126333333333333,0.014053000000000001,186.274,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293375.9160788,-0.0101385,0.014050499999999999,185.777,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293376.2177112,-0.010150666666666667,0.014048166666666667,185.267,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293376.509009,-0.010163,0.014045833333333334,184.762,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293376.8088174,-0.010175,0.014043666666666668,184.233,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293377.1115065,-0.010187499999999999,0.014041333333333333,183.68,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293377.4160364,-0.0101995,0.014039333333333332,183.117,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293377.7150722,-0.010211833333333333,0.014037333333333334,182.552,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293378.0165915,-0.010224,0.014035333333333334,181.969,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293378.319261,-0.010236333333333332,0.0140335,181.374,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293378.6094224,-0.010248666666666666,0.014031666666666666,180.786,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293378.9158041,-0.010261,0.014029999999999999,180.166,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293379.2169776,-0.010273000000000001,0.0140285,179.539,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293379.5185778,-0.010285333333333334,0.014027000000000001,178.898,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293379.8163319,-0.010297666666666667,0.0140255,178.265,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293380.1095629,-0.010309833333333332,0.014024333333333333,177.622,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293380.4113653,-0.010322166666666667,0.014023166666666666,176.955,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293380.715683,-0.0103345,0.014022166666666667,176.274,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293381.011325,-0.0103465,0.014021166666666666,175.599,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293381.3143272,-0.010358833333333334,0.0140205,174.9,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293381.6164331,-0.010370833333333333,0.014019833333333334,174.195,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293381.9132848,-0.010383166666666667,0.014019166666666666,173.494,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
